product_id,description
1,"Smartphone with 50MP camera, 16GB RAM, Wireless"
2,"Bluetooth speaker with Fitness tracking, 8GB RAM, 128GB storage"
3,"Laptop with 4K video, Heart rate monitor, Fitness tracking"
4,"Bluetooth speaker with 50MP camera, Fitness tracking, 64GB storage"
5,"Monitor with 4GB RAM, 64GB storage, 8GB RAM"
6,"Monitor with Fast charging, 50MP camera, 128GB storage"
7,"Camera with 8GB RAM, Heart rate monitor, 48MP camera"
8,"Keyboard with 64GB storage, 1080p resolution, 8GB RAM"
9,"Game Console with Fast charging, 48MP camera, 4GB RAM"
10,"Bluetooth speaker with 64GB storage, Long battery life, Fast charging"
11,"Tablet with 1080p resolution, Fitness tracking, Touchscreen"
12,"Laptop with Bluetooth, Fitness tracking, 8GB RAM"
13,"Smartphone with Heart rate monitor, 4K video, Touchscreen"
14,"Bluetooth speaker with Heart rate monitor, GPS, 8GB RAM"
15,"Mouse with Fast charging, 4K video, Noise cancellation"
16,"Laptop with 48MP camera, Wireless, 50MP camera"
17,"Camera with 16GB RAM, Noise cancellation, Fitness tracking"
18,"Smartphone with Long battery life, 128GB storage, 1080p resolution"
19,"Camera with 8GB RAM, Fitness tracking, Heart rate monitor"
20,"Camera with Touchscreen, 8GB RAM, GPS"
21,"Monitor with 4GB RAM, Bluetooth, Heart rate monitor"
22,"Game Console with 8GB RAM, 64GB storage, 1080p resolution"
23,"Camera with Wireless, 8GB RAM, 50MP camera"
24,"Camera with 64GB storage, 4K video, 4GB RAM"
25,"Mouse with 4K video, 64GB storage, 16GB RAM"
26,"Keyboard with Wireless, 8GB RAM, Noise cancellation"
27,"Laptop with Heart rate monitor, Bluetooth, 50MP camera"
28,"Mouse with Fast charging, Touchscreen, 128GB storage"
29,"Monitor with Long battery life, Wireless, 4GB RAM"
30,"Keyboard with 48MP camera, 1080p resolution, 50MP camera"
31,"Smartphone with 4GB RAM, 128GB storage, Bluetooth"
32,"Camera with 50MP camera, 16GB RAM, 8GB RAM"
33,"Headphones with 1080p resolution, Heart rate monitor, 4K video"
34,"Bluetooth speaker with 1080p resolution, 8GB RAM, GPS"
35,"Camera with Fast charging, 48MP camera, 4GB RAM"
36,"Game Console with Touchscreen, 16GB RAM, Heart rate monitor"
37,"Laptop with Long battery life, 4K video, 128GB storage"
38,"Smartwatch with Touchscreen, 128GB storage, 4GB RAM"
39,"Camera with Touchscreen, 16GB RAM, 1080p resolution"
40,"Smartphone with 4K video, GPS, Fast charging"
41,"Laptop with Bluetooth, Wireless, Fast charging"
42,"Smartwatch with 4K video, 8GB RAM, 1080p resolution"
43,"Keyboard with 16GB RAM, Touchscreen, Long battery life"
44,"Monitor with 1080p resolution, 128GB storage, 16GB RAM"
45,"Keyboard with 64GB storage, 8GB RAM, Fitness tracking"
46,"Smartphone with 64GB storage, Noise cancellation, 8GB RAM"
47,"Keyboard with 8GB RAM, GPS, 16GB RAM"
